severity,ErrorID,Description
5,105522,(Primary|Secondary) Updating route route_table_name
5,105523,(Primary|Secondary) Updated route route_table_name
4,105524,(Primary|Secondary) Transitioning to Negotiating state due to the presence of another Active HA unit.
4,105524,(Primary|Secondary) Transitioning to Negotiating state due to the presence of another Active HA unit.
2,105525,(Primary|Secondary) Incomplete configuration to initiate access token change request.
2,105526,(Primary|Secondary) Unexpected status in response to access token request: status_string.
2,105527,(Primary|Secondary) Failure reading response to access token request
2,105528,(Primary|Secondary) No access token in response to access token request
2,105529,(Primary|Secondary) Error creating authentication header from access token
2,105530,(Primary|Secondary) No response to access token request url
2,105531,(Primary|Secondary) Failed to obtain route-table information needed for change request for route-table route_table_name
2,105532,(Primary|Secondary) Unexpected status in response to route-table change request for route-table route_table_name: status_string
2,105533,(Primary|Secondary) Failure reading response to route-table change request for route-table route_table_name
2,105534,(Primary|Secondary) No provisioning state in response to route-table change request route-table route_table_name
2,105535,(Primary|Secondary) No response to route-table change request for route-table route_table_name from url
2,105536,(Primary|Secondary) Failed to obtain Azure authentication header for route status request for route route_name
2,105537,(Primary|Secondary) Unexpected status in response to route state request for route route_name: status_string
2,105538,(Primary|Secondary) Failure reading response to route state request for route route_name
2,105539,(Primary|Secondary) No response to route state request for route route_name from url
2,105540,(Primary|Secondary) No route-tables configured
2,105541,(Primary|Secondary) Failed to update route-table route_table_name, provisioning state: state_string
5,105542,(Primary|Secondary) Enabling load balancer probe responses
5,105543,(Primary|Secondary) Disabling load balancer probe responses
2,105544,(Primary|Secondary) Error creating load balancer probe socket on port port
3,105545,(Primary|Secondary) Error starting load balancer probe socket on port port, error code: error_code
3,105546,(Primary|Secondary) Error starting load balancer probe handler
3,105547,(Primary|Secondary) Error generating encryption key for Azure secret key
3,105548,(Primary|Secondary) Error storing encryption key for Azure secret key
3,105549,(Primary|Secondary) Error retrieving encryption key for Azure secret key
3,105550,(Primary|Secondary) Error encrypting Azure secret key
3,105551,(Primary|Secondary) Error encrypting Azure secret key
5,105552,(Primary|Secondary) Stopped HA
4,105553,(Primary|Secondary) Detected another Active HA unit
2,106001,Inbound TCP connection denied from IP_address/port to IP_address/port flags tcp_flags on interface interface_name
2,106002,protocol Connection denied by outbound list acl_ID src inside_address dest outside_address
2,106006,Deny inbound UDP from outside_address/outside_port to inside_address/inside_port on interface interface_name.
2,106007,Deny inbound UDP from outside_address/outside_port to inside_address/inside_port due to DNS {Response|Query}.
3,106010,Deny inbound protocol src [interface_name : source_address/source_port ] [([idfw_user | FQDN_string ], sg_info )] dst [interface_name : dest_address /dest_port }[([idfw_user | FQDN_string ], sg_info )]
3,106011,Deny inbound (No xlate) string
6,106012,Deny IP from IP_address to IP_address , IP options hex.
2,106013,Dropping echo request from IP_address to PAT address IP_address
3,106014,Deny inbound icmp src interface_name : IP_address [([idfw_user | FQDN_string ], sg_info )] dst interface_name : IP_address [([idfw_user | FQDN_string ], sg_info )] (type dec , code dec )
6,106015,Deny TCP (no connection) from IP_address /port to IP_address /port flags tcp_flags on interface interface_name.
2,106016,Deny IP spoof from (IP_address ) to IP_address on interface interface_name.
2,106017,Deny IP due to Land Attack from IP_address to IP_address
2,106018,ICMP packet type ICMP_type denied by outbound list acl_ID src inside_address dest outside_address
2,106020,Deny IP teardrop fragment (size = number, offset = number) from IP_address to IP_address
1,106021,Deny protocol reverse path check from source_address to dest_address on interface interface_name
1,106022,Deny protocol connection spoof from source_address to dest_address on interface interface_name
4,106023,Deny protocol src [interface_name :source_address /source_port ] [([idfw_user |FQDN_string ], sg_info )] dst interface_name :dest_address /dest_port [([idfw_user |FQDN_string ], sg_info )] [type {string }, code {code }] by access_group acl_ID [0x8ed66b60, 0xf8852875]
2,106024,Access rules memory exhausted
6,106025,Failed to determine the security context for the packet:sourceVlan:source_address dest_address source_port dest_port protocol
4,106027,acl_ID: Deny src [source address] dst [destination address] by access-group “access-list name"
6,106100,access-list acl_ID {permitted | denied | est-allowed} protocol interface_name /source_address (source_port ) (idfw_user , sg_info ) interface_name /dest_address (dest_port ) (idfw_user , sg_info ) hit-cnt number ({first hit | number -second interval}) hash codes
1,106101,Number of cached deny-flows for ACL log has reached limit (number ).
6,106102,access-list acl_ID {permitted|denied} protocol for user username interface_name /source_address source_port interface_name /dest_address dest_port hit-cnt number {first hit|number -second interval} hash codes
4,106103,access-list acl_ID denied protocol for user username interface_name /source_address source_port interface_name /dest_address dest_port hit-cnt number first hit hash codes
1,107001,RIP auth failed from IP_address : version=number, type=string, mode=string, sequence=number on interface interface_name
1,107002,RIP pkt failed from IP_address : version=number on interface interface_name
2,108002,SMTP replaced string: out source_address in inside_address data: string
2,108003,Terminating ESMTP/SMTP connection; malicious pattern detected in the mail address from source_interface:source_address/source_port to dest_interface:dest_address/dset_port . Data:string
4,108004,action_class: action ESMTP req_resp from src_ifc:sip |sport to dest_ifc:dip |dport;further_info
6,108005,action_class: Received ESMTP req_resp from src_ifc:sip |sport to dest_ifc:dip |dport;further_info
7,108006,Detected ESMTP size violation from src_ifc:sip |sport to dest_ifc:dip |dport; declared size is: decl_size, actual size is act_size.
6,108007,TLS started on ESMTP session between client client-side interface-name : client IP address /client port and server server-side interface-name : server IP address /server port
6,109001,Auth start for user user from inside_address/inside_port to outside_address/outside_port
6,109002,Auth from inside_address/inside_port to outside_address/outside_port failed (server IP_address failed) on interface interface_name.
6,109003,Auth from inside_address to outside_address/outside_port failed (all servers failed) on interface interface_name, so marking all servers ACTIVE again.
6,109005,Authentication succeeded for user user from inside_address/inside_port to outside_address/outside_port on interface interface_name.
6,109006,Authentication failed for user user from inside_address/inside_port to outside_address/outside_port on interface interface_name.
6,109007,Authorization permitted for user user from inside_address/inside_port to outside_address/outside_port on interface interface_name.
6,109008,Authorization denied for user user from outside_address/outside_port to inside_address/ inside_port on interface interface_name.
3,109010,Auth from inside_address/inside_port to outside_address/outside_port failed (too many pending auths) on interface interface_name.
2,109011,Authen Session Start: user 'user ', sid number
5,109012,Authen Session End: user 'user', sid number, elapsed number seconds
3,109013,User must authenticate before using this service
7,109014,A non-Telnet connection was denied to the configured virtual Telnet IP address.
3,109016,Can't find authorization ACL acl_ID for user 'user '
4,109017,User at IP_address exceeded auth proxy connection limit (max)
3,109018,Downloaded ACL acl_ID is empty
3,109019,Downloaded ACL acl_ID has parsing error; ACE string
3,109020,Downloaded ACL has config error; ACE
7,109021,Uauth null proxy error
4,109022,exceeded HTTPS proxy process limit
3,109023,User from source_address /source_port to dest_address /dest_port on interface outside_interface must authenticate before using this service.
6,109024,Authorization denied from source_address /source_port to dest_address /dest_port (not authenticated) on interface interface_name using protocol
6,109025,Authorization denied (acl=acl_ID) for user 'user' from source_address /source_port to dest_address /dest_port on interface interface_name using protocol
3,109026,[aaa protocol ] Invalid reply digest received; shared server key may be mismatched.
4,109027,[aaa protocol] Unable to decipher response message Server = server_IP_address , User = user
4,109028,aaa bypassed for same-security traffic from ingress_ interface:source_address/source_port to egress_interface:dest_address/dest_port
5,109029,Parsing downloaded ACL: string
4,109030,Autodetect ACL convert wildcard did not convert ACL access_list source |dest netmask netmask .
4,109031,NT Domain Authentication Failed: rejecting guest login for username .
3,109032,Unable to install ACL access_list , downloaded for user username ; Error in ACE: ace .
4,109033,Authentication failed for admin user user from src_IP . Interactive challenge processing is not supported for protocol connections
4,109034,Authentication failed for network user user from src_IP/port to dst_IP/port . Interactive challenge processing is not supported for protocol connections
3,109035,Exceeded maximum number (<max_num>) of DAP attribute instances for user <user>
6,109036,Exceeded 1000 attribute values for the attribute name attribute for user username .
3,109037,Exceeded 5000 attribute values for the attribute name attribute for user username .
3,109038,Attribute internal-attribute-name value string-from-server from AAA server could not be parsed as a type internal-attribute-name string representation of the attribute name
5,109039,AAA Authentication:Dropping an unsupported IPv6/IP46/IP64 packet from lifc :laddr to fifc :faddr
4,109040,User at IP exceeded auth proxy rate limit of 10 connections/sec
6,109100,Received CoA update from coa-source-ip for user username , with session ID: audit-session-id , changing authorization attributes
6,109101,Received CoA disconnect request from coa-source-ip for user username , with audit-session-id: audit-session-id
4,109102,Received CoA action-type from coa-source-ip , but cannot find named session audit-session-id
3,109103,CoA action-type from coa-source-ip failed for user username , with session ID: audit-session-id .
3,109104,CoA action-type from coa-source-ip failed for user username , session ID: audit-session-id . Action not supported.
3,109105,Failed to determine the egress interface for locally generated traffic destined to <protocol> <IP>:<port>.
6,110002,Failed to locate egress interface for protocol from src interface :src IP/src port to dest IP/dest port
6,110003,Routing failed to locate next-hop for protocol from src interface :src IP/src port to dest interface :dest IP/dest port
6,110004,Egress interface changed from old_active_ifc to new_active_ifc on ip_protocol connection conn_id for outside_zone /parent_outside_ifc :outside_addr /outside_port (mapped_addr /mapped_port ) to inside_zone /parent_inside_ifc :inside_addr /inside_port (mapped_addr /mapped_port )
5,111001,Begin configuration: IP_address writing to device
5,111002,Begin configuration: IP_address reading from device
5,111003,IP_address Erase configuration
5,111004,IP_address end configuration: {FAILED|OK}
5,111005,IP_address end configuration: OK
5,111007,Begin configuration: IP_address reading from device.
5,111008,User user executed the command string
7,111009,User user executed cmd:string
5,111010,User username , running application-name from IP ip addr , executed cmd
1,111111,error_message
2,112001,(string :dec ) Clear complete.
3,113001,Unable to open AAA session. Session limit [limit ] reached.
6,113003,AAA group policy for user user is being set to policy_name .
6,113004,AAA user aaa_type Successful: server = server_IP_address , User = user
6,113005,AAA user authentication Rejected: reason = AAA failure: server = ip_addr : user = *****: user IP = ip_addr
6,113005,AAA user authentication Rejected: reason = AAA failure: server = ip_addr : user = *****: user IP = ip_addr
6,113006,User user locked out on exceeding number successive failed authentication attempts
6,113007,User user unlocked by administrator
6,113008,AAA transaction status ACCEPT: user = user
6,113009,AAA retrieved default group policy policy for user user
6,113010,AAA challenge received for user user from server server_IP_address
6,113011,AAA retrieved user specific group policy policy for user user
6,113012,AAA user authentication Successful: local database: user = user
6,113013,AAA unable to complete the request Error: reason = reason : user = user
6,113014,AAA authentication server not accessible: server = server_IP_address : user = user
6,113015,AAA user authentication Rejected: reason = reason : local database: user = user: user IP = xxx.xxx.xxx.xxx
6,113016,AAA credentials rejected: reason = reason : server = server_IP_address : user = user<915CLI>: user IP = xxx.xxx.xxx.xxx
6,113017,AAA credentials rejected: reason = reason : local database: user = user: user IP = xxx.xxx.xxx.xxx
3,113018,User: user , Unsupported downloaded ACL Entry: ACL_entry , Action: action
4,113019,Group = group , Username = username , IP = peer_address , Session disconnected. Session Type: type , Duration: duration , Bytes xmt: count , Bytes rcv: count , Reason: reason
3,113020,Kerberos error: Clock skew with server ip_address greater than 300 seconds
3,113021,Attempted console login failed. User username did NOT have appropriate Admin Rights.
2,113022,AAA Marking RADIUS server servername in aaa-server group AAA-Using-DNS as FAILED
2,113023,AAA Marking protocol server ip-addr in server group tag as ACTIVE
5,113024,Group tg : Authenticating type connection from ip with username, user_name , from client certificate
5,113025,Group tg : fields Could not authenticate connection type connection from ip
4,113026,Error error while executing Lua script for group tunnel group
2,113027,Error activating tunnel-group scripts
7,113028,Extraction of username from VPN client certificate has string. [Request num ]
4,113029,Group group User user IP ipaddr Session could not be established: session limit of num reached
4,113030,Group group User user IP ipaddr User ACL acl from AAA doesn't exist on the device, terminating connection.
4,113031,Group group User user IP ipaddr AnyConnect vpn-filter filter is an IPv6 ACL; ACL not applied.
4,113032,Group group User user IP ipaddr AnyConnect ipv6-vpn-filter filter is an IPv4 ACL; ACL not applied.
6,113033,Group group User user IP ipaddr AnyConnect session not allowed. ACL parse error.
4,113034,Group group User user IP ipaddr User ACL acl from AAA ignored, AV-PAIR ACL used instead.
4,113035,Group group User user IP ipaddr Session terminated: AnyConnect not enabled or invalid AnyConnect image on the ASA.
4,113036,Group group User user IP ipaddr AAA parameter name value invalid.
6,113037,Reboot pending, new sessions disabled. Denied user login.
4,113038,Group group User user IP ipaddr Unable to create AnyConnect parent session.
6,113039,Group group User user IP ipaddr AnyConnect parent session started.
4,113040,Terminating the VPN connection attempt from attempted group . Reason: This connection is group locked to locked group.
4,113041,Redirect ACL configured for assigned IP does not exist on the device.
4,113042,CoA: Non-HTTP connection from src_if :src_ip /src_port to dest_if :dest_ip /dest_port for user username at client_IP denied by redirect filter; only HTTP connections are supported for redirection.
6,113045,AAA SDI server IP_address in aaa-server group group_name: status changed from previous-state to current-state
1,114001,Failed to initialize 4GE SSM I/O card (error error_string ).
1,114002,Failed to initialize SFP in 4GE SSM I/O card (error error_string ).
1,114003,Failed to run cached commands in 4GE SSM I/O card (error error_string ).
6,114004,4GE SSM I/O Initialization start.
6,114005,4GE SSM I/O Initialization end.
3,114006,Failed to get port statistics in 4GE SSM I/O card (error error_string ).
3,114007,Failed to get current msr in 4GE SSM I/O card (error error_string ).
3,114008,Failed to enable port after link is up in 4GE SSM I/O card due to either I2C serial bus access error or switch access error.
3,114009,Failed to set multicast address in 4GE SSM I/O card (error error_string ).
3,114010,Failed to set multicast hardware address in 4GE SSM I/O card (error error_string ).
3,114011,Failed to delete multicast address in 4GE SSM I/O card (error error_string ).
3,114012,Failed to delete multicast hardware address in 4GE SSM I/O card (error error_string ).
3,114013,Failed to set mac address table in 4GE SSM I/O card (error error_string ).
3,114014,Failed to set mac address in 4GE SSM I/O card (error error_string ).
3,114015,Failed to set mode in 4GE SSM I/O card (error error_string ).
3,114016,Failed to set multicast mode in 4GE SSM I/O card (error error_string ).
3,114017,Failed to get link status in 4GE SSM I/O card (error error_string ).
3,114018,Failed to set port speed in 4GE SSM I/O card (error error_string ).
3,114019,Failed to set media type in 4GE SSM I/O card (error error_string ).
3,114020,Port link speed is unknown in 4GE SSM I/O card.
3,114021,Failed to set multicast address table in 4GE SSM I/O card due to error .
3,114022,Failed to pass broadcast traffic in 4GE SSM I/O card due to error_string
3,114023,Failed to cache/flush mac table in 4GE SSM I/O card due to error_string .
2,115000,Critical assertion in process: process name fiber: fiber name , component: component name , subcomponent: subcomponent name , file: filename , line: line number , cond: condition
3,115001,Error in process: process name fiber: fiber name , component: component name , subcomponent: subcomponent name , file: filename , line: line number , cond: condition
4,115002,Warning in process: process name fiber: fiber name , component: component name , subcomponent: subcomponent name , file: filename , line: line number , cond: condition
5,120001,Smart Call-Home Module is started.
5,120002,Smart Call-Home Module is terminated.
6,120003,Process event group title
4,120004,Event group title is dropped. Reason reason
4,120005,Message group to destination is dropped. Reason reason
4,120006,Delivering message group to destination failed. Reason reason
6,120007,Message group to destination delivered.
5,120008,SCH client client is activated.
5,120009,SCH client client is deactivated.
3,120010,Notify command command to SCH client client failed. Reason reason .
4,120011,To ensure Smart Call Home can properly communicate with Cisco, use the command dns name-server to configure at least one DNS server.
5,120012,User username chose to choice call-home anonymous reporting at the prompt.
5,121001,msgId id. Telemetry support on the chassis: status.
5,121002,Telemetry support on the blade: status.
6,121003,msgId id. Telemetry request from the chassis received. SSE connector status: connector status. Telemetry config on the blade: blade status. Telemetry data data status.
5,199001,Reload command executed from Telnet (remote IP_address ).
6,199002,startup completed. Beginning operation.
6,199003,Reducing link MTU dec .
6,199005,Startup begin
1,199010,Signal 11 caught in process/fiber(rtcli async executor process)/(rtcli async executor) at address 0xf132e03b, corrective action at 0xca1961a0
2,199011,Close on bad channel in process/fiber process/fiber , channel ID p , channel state s process/fiber name of the process/fiber that caused the bad channel close operation.
1,1199012,Stack smash during new_stack_call in process/fiber process/fiber , call target f , stack size s , process/fiber name of the process/fiber that caused the stack smash
1,199013,syslog
2,199014,syslog
3,199015,syslog
4,199016,syslog
5,199017,syslog
6,199018,syslog
7,199019,syslog
2,199020,System memory utilization has reached X %. System will reload if memory usage reaches the configured trigger level of Y %.
1,199021,System memory utilization has reached the configured watchdog trigger level of Y %. System will now reload
5,199027,Restore operation was aborted at <HH:MM:SS> UTC <DD:MM:YY>3,201002,Too many TCP connections on {static|xlate} global_address ! econns nconns
2,201003,Embryonic limit exceeded nconns/elimit for outside_address/outside_port (global_address ) inside_address /inside_port on interface interface_name
3,201004,Too many UDP connections on {static|xlate} global_address!udp connections limit
3,201005,FTP data connection failed for IP_address IP_address
3,201006,RCMD backconnection failed for IP_address/port.
3,201008,Disallowing new connections.
3,201009,TCP connection limit of number for host IP_address on interface_name exceeded
6,201010,Embryonic connection limit exceeded econns/limit for dir packet from source_address/source_port to dest_address/dest_port on interface interface_name
3,201011,Connection limit exceeded cnt /limit for dir packet from sip /sport to dip /dport on interface if_name .
6,201012,Per-client embryonic connection limit exceeded curr num /limit for [input|output] packet from IP_address / port to ip /port on interface interface_name
3,201013,Per-client connection limit exceeded curr num /limit for [input|output] packet from ip /port to ip /port on interface interface_name
3,202001,Out of address translation slots!
3,202005,Non-embryonic in embryonic list outside_address/outside_port inside_address/inside_port
3,202010,[NAT | PAT] pool exhausted for pool-name , port range [1-511 | 512-1023 | 1024-65535]. Unable to create protocol connection from in-interface :src-ip /src-port to out-interface :dst-ip /dst-port
3,202016,"%d: Unable to pre-allocate SIP %s secondary channel for message" \ "from %s:%A/%d to %s:%A/%d with PAT and missing port information.\n"
3,208005,(function:line_num) clear command return code
4,209003,Fragment database limit of number exceeded: src = source_address , dest = dest_address , proto = protocol , id = number
4,209004,Invalid IP fragment, size = bytes exceeds maximum size = bytes : src = source_address , dest = dest_address , proto = protocol , id = number
4,209005,Discard IP fragment set with more than number elements: src = Too many elements are in a fragment set.
4,209006,Fragment queue threshold exceeded, dropped TCP fragment from IP address/port to IP address/port on outside interface.
3,210001,LU sw_module_name error = number
3,210002,LU allocate block (bytes ) failed.
3,210003,Unknown LU Object number
3,210005,LU allocate secondary (optional ) connection failed for protocol [TCP |UDP ] connection from ingress interface name :Real IP Address /Real Port to egress interface name :Real IP Address /Real Port
3,210006,LU look NAT for IP_address failed
3,210007,LU allocate xlate failed for type [static | dynamic ]-[NAT | PAT ] secondary(optional) protocol translation from ingress interface name :Real IP Address /real port (Mapped IP Address /Mapped Port ) to egress interface name :Real IP Address /Real Port (Mapped IP Address /Mapped Port )
3,210008,LU no xlate for inside_address /inside_port outside_address /outside_port
3,210010,LU make UDP connection for outside_address :outside_port inside_address :inside_port failed
3,210020,LU PAT port port reserve failed
3,210021,LU create static xlate global_address ifc interface_name failed
6,210022,LU missed number updates
3,211001,Memory allocation Error
3,211003,Error in computed percentage CPU usage value
1,211004,WARNING: Minimum Memory Requirement for ASA version ver not met for ASA image. min MB required, actual MB found.
3,212001,Unable to open SNMP channel (UDP port port ) on interface interface_number , error code = code
3,212002,Unable to open SNMP trap channel (UDP port port ) on interface interface_number , error code = code
3,212003,Unable to receive an SNMP request on interface interface_number , error code = code , will try again.
3,212004,Unable to send an SNMP response to IP Address IP_address Port port interface interface_number , error code = code
3,212005,incoming SNMP request (number bytes) on interface interface_name exceeds data buffer size, discarding this SNMP request.
3,212006,Dropping SNMP request from src_addr /src_port to ifc :dst_addr /dst_port because: reason username
5,212009,Configuration request for SNMP group groupname failed. User username , reason .
3,212010,Configuration request for SNMP user %s failed. Host %s reason .
3,212011,SNMP engineBoots is set to maximum value. Reason : %s User intervention necessary.
3,212012,Unable to write SNMP engine data to persistent storage.
3,213001,PPTP control daemon socket io string , errno = number .
3,213002,PPTP tunnel hashtable insert failed, peer = IP_address .
3,213003,PPP virtual interface interface_number isn't opened.
3,213004,PPP virtual interface interface_number client ip allocation failed.
3,213005,: Dynamic-Access-Policy action (DAP) action aborted
3,213006,: Unable to read dynamic access policy record.
4,213007,L2TP: Failed to install Redirect URL: redirect URL Redirect ACL: non_exist for assigned IP .
2,214001,Terminating manager session from IP_address on interface interface_name . Reason: incoming encrypted data (number bytes) longer than number bytes
2,215001,Bad route_compress() call, sdb = number
2,217001,No memory for string in string
n,216001,internal error in: function : message
3,216002,Unexpected event (major: major_id , minor: minor_id ) received by task_string in function at line: line_num
3,216003,Unrecognized timer timer_ptr , timer_id received by task_string in function at line: line_num
4,216004,prevented: error in function at file (line ) - stack trace
1,216005,ERROR: Duplex-mismatch on interface_name resulted in transmitter lockup. A soft reset of the switch was performed.
2,218001,Failed Identification Test in slot# [fail #/res ].
2,218002,Module (slot# ) is a registered proto-type for Cisco Lab use only, and not certified for live network operation.
2,218003,Module Version in slot# is obsolete. The module in slot = slot# is obsolete and must be returned via RMA to Cisco Manufacturing. If it is a lab unit, it must be returned to Proto Services for upgrade.
2,218004,Failed Identification Test in slot# [fail# /res ]
2,218005,Inconsistency detected in the system information programmed in non-volatile memory
3,219002,I2C_API_name error, slot = slot_number , device = device_number , address = address , byte count = count . Reason: reason_string6,302003,Built H245 connection for foreign_address outside_address /outside_port local_address inside_address /inside_port
6,302004,Pre-allocate H323 UDP backconnection for foreign_address outside_address /outside_port to local_address inside_address /inside_port
6,302010,connections in use, connections most used
6,302012,Pre-allocate H225 Call Signalling Connection for faddr IP_address /port to laddr IP_address
6,302013,Built {inbound|outbound} [Probe] TCP connection_id for interface :real-address /real-port (mapped-address/mapped-port ) [(idfw_user )] to interface :real-address /real-port (mapped-address/mapped-port ) [(idfw_user )] [(user )]
6,302014,Teardown [Probe] TCP connection id for interface :real-address /real-port [(idfw_user )] to interface :real-address /real-port [(idfw_user )] duration hh:mm:ss bytes bytes [reason [from teardown-initiator]] [(user )]
6,302015,Built {inbound|outbound} UDP connection number for interface_name :real_address /real_port (mapped_address /mapped_port ) [(idfw_user )] to interface_name :real_address /real_port (mapped_address /mapped_port )[(idfw_user )] [(user )]
6,302016,Teardown UDP connection number for interface :real-address /real-port [(idfw_user )] to interface :real-address /real-port [(idfw_user )] duration hh :mm :ss bytes bytes [(user )]
6,302017,Built {inbound|outbound} GRE connection id from interface :real_address (translated_address ) [(idfw_user )] to interface :real_address /real_cid (translated_address /translated_cid ) [(idfw_user )] [(user )
6,302018,Teardown GRE connection id from interface :real_address (translated_address ) [(idfw_user )] to interface :real_address /real_cid (translated_address /translated_cid ) [(idfw_user )] duration hh :mm :ss bytes bytes [(user )]
3,302019,H.323 library_name ASN Library failed to initialize, error code number
6,302020,Built {in | out} bound ICMP connection for faddr {faddr | icmp_seq_num } [(idfw_user )] gaddr {gaddr | icmp_type } laddr laddr [(idfw_user )] type {type } code {code }
6,302021,Teardown ICMP connection for faddr {faddr | icmp_seq_num } [(idfw_user )] gaddr {gaddr | icmp_type } laddr laddr [(idfw_user )] type {type } code {code }
6,302022,Built role stub TCP connection for interface :real-address /real-port (mapped-address /mapped-port ) to interface :real-address /real-port (mapped-address /mapped-port)
6,302023,Teardown stub TCP connection for interface :real-address /real-port to interface :real-address /real-port duration hh:mm:ss forwarded bytes bytes reason
6,302024,Built role stub UDP connection for interface :real-address /real-port (mapped-address /mapped-port ) to interface :real-address /real-port (mapped-address /mapped-port )
6,302025,Teardown stub UDP connection for interface :real-address /real-port to interface :real-address /real-port duration hh:mm:ss forwarded bytes bytes reason
6,302026,Built role stub ICMP connection for interface :real-address /real-port (mapped-address ) to interface :real-address /real-port (mapped-address )
6,302027,Teardown stub ICMP connection for interface :real-address /real-port to interface :real-address /real-port duration hh:mm:ss forwarded bytes bytes reason
6,302033,Pre-allocated H323 GUP Connection for faddr interface :foreign address /foreign-port to laddr interface :local-address /local-port
4,302034,Unable to pre-allocate H323 GUP Connection for faddr interface :foreign address /foreign-port to laddr interface :local-address /local-port
6,302035,Built {inbound|outbound} SCTP connection conn_id for outside_interface :outside_ip /outside_port (mapped_outside_ip /mapped_outside_port )[([outside_idfw_user ],[outside_sg_info ])] to inside_interface :inside_ip /inside_port (mapped_inside_ip /mapped_inside_port )[([inside_idfw_user ],[inside_sg_info ])] [(user )]
